unique_id,timestamp,country,y_pred,y_proba,target_date,model_version,runtime,mode
8eb1b8d9-8374-418f-9073-12a7ea6023ab,1633480419.5929768,portugal,[777.187],[],2019-06-30,0.1,000:00:13,test
096cf720-ee4a-4988-bc8b-b7977972c92a,1633480432.8010294,united_kingdom,[117848.59855],[],2019-06-30,0.1,000:00:13,test
f3b6c08b-cee2-4df1-bec9-904a17cbe226,1633480446.355533,hong_kong,[1858.69026506],[],2019-05-31,0.1,000:00:13,test
67d623f2-ae10-4059-bc17-7a738ba9351f,1633480459.8637378,eire,[1264.22],[],2019-06-30,0.1,000:00:13,test
9bc4037f-511f-47a1-8cbe-ceedeb144455,1633480473.1786108,spain,[572.26],[],2019-06-30,0.1,000:00:13,test
82391869-151d-4f34-b14d-b814a74c03f5,1633480486.7705264,france,[1616.153],[],2019-06-30,0.1,000:00:13,test
e8e6df50-c0ae-4c1c-9097-2667da1368b1,1633480500.1053164,singapore,[0.],[],2019-06-11,0.1,000:00:13,test
9c416cb3-144d-424a-a7b7-2d443be7ee84,1633480513.350527,norway,[23.4816],[],2019-06-30,0.1,000:00:13,test
7b7c155a-a992-4010-9738-4ed9ee0da879,1633480526.6103098,germany,[2990.91533333],[],2019-06-30,0.1,000:00:13,test
30c41214-6d7c-4086-952f-086762af4d6e,1633480539.8140981,netherlands,[602.52466667],[],2019-06-30,0.1,000:00:13,test
2d03ca66-044b-4dc3-aea6-bde5caab4da2,1633480899.4487185,united_kingdom,[157346.613],[],2018-01-05,0.1,000:00:13,prod
9aa67dcf-5d20-48ab-bf84-46a440891d76,1633481912.1147802,all,[173683.94984],[],2019-06-05,0.1,000:00:15,prod
fd1ed9af-8792-46e9-b174-978590cda5f4,1633481927.2160778,portugal,[282.77533333],[],2019-06-05,0.1,000:00:15,prod
1bcfd043-c5b4-4a29-86f1-0f1d183f0b93,1633481942.5777397,united_kingdom,[157305.9886],[],2019-06-05,0.1,000:00:15,prod
222f39e5-4f11-41a5-87d8-02b6b4575560,1633481958.0297334,hong_kong,[1858.69026506],[],2019-05-31,0.1,000:00:15,prod
2e643a34-1041-47e6-a04c-8604f520b740,1633481973.4070463,eire,[8363.841],[],2019-06-05,0.1,000:00:15,prod
509ec73c-da11-43a9-98b9-75b91cbc0b26,1633481988.8598313,spain,[574.61507778],[],2019-06-05,0.1,000:00:15,prod
05abd4e2-03b1-42bd-be61-c03090adcba7,1633482003.925156,france,[2052.386],[],2019-06-05,0.1,000:00:15,prod
8e87f3ae-0b87-4807-9d8c-07ca21deb4a3,1633482020.4655426,singapore,[0.],[],2019-06-05,0.1,000:00:16,prod
065e41a5-6394-4b51-b7c7-2603c7263380,1633482036.3810697,norway,[0.],[],2019-05-28,0.1,000:00:15,prod
a27e28ed-04ba-44bf-ae4d-4040b8ed9944,1633482051.7009223,germany,[2184.67266667],[],2019-06-05,0.1,000:00:15,prod
2e1abed1-80a9-4d9d-9fe0-5385e374e904,1633482067.213614,netherlands,[633.1344],[],2019-06-05,0.1,000:00:15,prod
e99fae6c-5bdc-4d6b-bcc5-db88faba5f54,1633486000.1383412,united_kingdom,[157346.613],[],2018-01-05,0.1,000:00:16,prod
2a379acb-aec9-4e22-8f88-f3f0b1ad087b,1633486067.4599261,united_kingdom,[157346.613],[],2018-01-05,0.1,000:00:15,prod
eb4d854e-dd35-4962-aad2-66c58ccd9d41,1633486318.4022083,united_kingdom,[157346.613],[],2018-01-05,0.1,000:00:14,prod
7e7f7c02-7a11-4296-920a-c7f2943bad01,1633488131.7174397,united_kingdom,[157346.613],[],2018-01-05,0.1,000:00:15,prod
1aa86f53-57bc-4682-a232-0cdfe2778ce5,1633489403.4373703,united_kingdom,[157346.613],[],2018-01-05,0.1,000:00:15,prod
b46938c7-4460-408c-b039-0ca1702483a4,1633522424.3512995,united_kingdom,[157346.613],[],2018-01-05,0.1,000:00:17,prod
